;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;FGVDADOS - 12/11/2023 11:11:56;;;;;
;;;;;;
LEGENDA;;;;;;
Série;Título;Código;Fonte;Unidade;Fator de escala;Base do No. índice
1;Energia Elétrica, Consumo Industrial Brasil(53778);53778;EPE;GWH;?;--
2;Energia Elétrica, Consumo Industrial Brasil(53778) (Variação Percentual em Relação ao Período Anterior);53778;;;;--
3;Energia Elétrica, Consumo Total Brasil(210873);210873;EPE;GWH;?;--
4;Energia Elétrica, Consumo Total Brasil(210873) (Variação Percentual em Relação ao Período Anterior);210873;;;;--
;;;;;;
08/2000;11271;2,01;25470;0,72;;
09/2000;11094;-1,57;25777;1,21;;
10/2000;11350;2,31;26313;2,08;;
11/2000;11422;0,63;26579;1,01;;
12/2000;10873;-4,81;25834;-2,8;;
01/2001;10426;-4,11;25878;0,17;;
02/2001;10856;4,12;26410;2,06;;
03/2001;10892;0,33;26487;0,29;;
04/2001;11307;3,81;27097;2,3;;
05/2001;11338;0,27;26311;-2,9;;
06/2001;10662;-5,96;23723;-9,84;;
07/2001;9178;-13,92;20447;-13,81;;
08/2001;9520;3,73;20809;1,77;;
09/2001;9586;0,69;21338;2,54;;
10/2001;9566;-0,21;21305;-0,15;;
11/2001;9686;1,25;21824;2,44;;
12/2001;9521;-1,7;21630;-0,89;;
01/2002;9494;-0,28;22388;3,5;;
02/2002;9919;4,48;22695;1,37;;
03/2002;10362;4,47;23251;2,45;;
04/2002;10762;3,86;24719;6,31;;
05/2002;10920;1,47;24728;0,04;;
06/2002;10898;-0,2;24234;-2;;
07/2002;10720;-1,63;23695;-2,22;;
08/2002;11024;2,84;24442;3,15;;
09/2002;10893;-1,19;24438;-0,02;;
10/2002;11000;0,98;24924;1,99;;
11/2002;11040;0,36;25468;2,18;;
12/2002;10659;-3,45;24948;-2,04;;
01/2003;10345;-2,95;25152;0,82;;
02/2003;10471;1,22;24966;-0,74;;
03/2003;10564;0,89;25280;1,26;;
04/2003;10849;2,7;24785;-1,96;;
05/2003;10750;-0,91;24889;0,42;;
06/2003;10779;0,27;24536;-1,42;;
07/2003;10818;0,36;24443;-0,38;;
08/2003;10792;-0,24;24629;0,76;;
09/2003;10856;0,59;24621;-0,03;;
10/2003;11214;3,3;25715;4,44;;
11/2003;11252;0,34;25784;0,27;;
12/2003;11185;-0,6;25844;0,23;;
01/2004;11829;5,76;26935;4,22;;
02/2004;11968;1,18;26473;-1,72;;
03/2004;12421;3,79;27229;2,86;;
04/2004;12707;2,3;28005;2,85;;
05/2004;12651;-0,44;27192;-2,9;;
06/2004;12931;2,21;27029;-0,6;;
07/2004;13130;1,54;27292;0,97;;
08/2004;13414;2,16;27601;1,13;;
09/2004;13284;-0,97;28178;2,09;;
10/2004;13347;0,47;28490;1,11;;
11/2004;13266;-0,61;28309;-0,64;;
12/2004;13211;-0,41;28512;0,72;;
01/2005;12495;-5,42;28368;-0,51;;
02/2005;12606;0,89;27842;-1,85;;
03/2005;12911;2,42;28592;2,69;;
04/2005;13225;2,43;29343;2,63;;
05/2005;13292;0,51;28607;-2,51;;
06/2005;13140;-1,14;28454;-0,53;;
07/2005;13430;2,21;28448;-0,02;;
08/2005;13601;1,27;28739;1,02;;
09/2005;13552;-0,36;29312;1,99;;
10/2005;13512;-0,3;29270;-0,14;;
11/2005;13445;-0,5;29413;0,49;;
12/2005;13396;-0,36;29490;0,26;;
01/2006;12851;-4,07;29032;-1,55;;
02/2006;13044;1,5;29534;1,73;;
03/2006;13382;2,59;30041;1,72;;
04/2006;13531;1,11;30027;-0,05;;
05/2006;13406;-0,92;29049;-3,26;;
06/2006;13568;1,21;29197;0,51;;
07/2006;13696;0,94;29242;0,15;;
08/2006;14164;3,42;30015;2,64;;
09/2006;13825;-2,39;30044;0,1;;
10/2006;13952;0,92;30271;0,76;;
11/2006;13989;0,27;30665;1,3;;
12/2006;13766;-1,59;30636;-0,09;;
01/2007;13592;-1,26;30864;0,74;;
02/2007;13683;0,67;30473;-1,27;;
